기록이 시작됩니다2016-11-05 16:57:16.257372	281365.1571035557값이 생성되었습니다
2016-11-05 16:57:16.257372	404046.111429209값이 생성되었습니다
2016-11-05 16:57:16.257372	515155.6602404196값이 생성되었습니다
2016-11-05 16:57:16.257372	740220.6406924688값이 생성되었습니다
2016-11-05 16:57:16.257372	860568.4311203079값이 생성되었습니다
2016-11-05 16:57:16.257372	323974.3184246756값이 생성되었습니다
2016-11-05 16:57:16.257372	236846.20139531197값이 생성되었습니다
2016-11-05 16:57:16.257372	665830.5542111243값이 생성되었습니다
2016-11-05 16:57:16.257372	772248.6799813259값이 생성되었습니다
2016-11-05 16:57:16.257372	720426.2808149339값이 생성되었습니다
2016-11-05 16:57:30.678367	914376.1169297798값이 생성되었습니다
2016-11-05 16:57:30.678367	963490.1003810988값이 생성되었습니다
2016-11-05 16:57:30.678367	523118.6138440219값이 생성되었습니다
2016-11-05 16:57:30.678367	735103.1894867093값이 생성되었습니다
2016-11-05 16:57:30.678367	607170.8183614148값이 생성되었습니다
2016-11-05 16:57:30.678367	709937.9499278362값이 생성되었습니다
2016-11-05 16:57:30.678367	635013.4841279064값이 생성되었습니다
2016-11-05 16:57:30.678367	520454.89349607244값이 생성되었습니다
2016-11-05 16:57:30.678367	416018.03364761634값이 생성되었습니다
2016-11-05 16:57:30.678367	187197.69895743122값이 생성되었습니다
2016-11-05 16:57:30.938388	966368.3233575587값이 생성되었습니다
2016-11-05 16:57:30.938388	471965.0973759458값이 생성되었습니다
2016-11-05 16:57:30.938388	75169.37602535223값이 생성되었습니다
2016-11-05 16:57:30.938388	367795.332435496값이 생성되었습니다
2016-11-05 16:57:30.938388	144471.95766795083값이 생성되었습니다
2016-11-05 16:57:30.938388	88764.4626910834값이 생성되었습니다
2016-11-05 16:57:30.938388	827861.5637317997값이 생성되었습니다
2016-11-05 16:57:30.938388	449758.43781478값이 생성되었습니다
2016-11-05 16:57:30.938388	530427.6388815818값이 생성되었습니다
2016-11-05 16:57:30.938388	808119.496720286값이 생성되었습니다
2016-11-05 16:57:31.242457	554289.524851646값이 생성되었습니다
2016-11-05 16:57:31.242457	426402.8308226789값이 생성되었습니다
2016-11-05 16:57:31.242457	209498.0008692896값이 생성되었습니다
2016-11-05 16:57:31.242457	540561.550212107값이 생성되었습니다
2016-11-05 16:57:31.242457	158955.58689054934값이 생성되었습니다
2016-11-05 16:57:31.242457	697682.0599279209값이 생성되었습니다
2016-11-05 16:57:31.242457	443424.43635872466값이 생성되었습니다
2016-11-05 16:57:31.242457	343048.73059529386값이 생성되었습니다
2016-11-05 16:57:31.242457	552087.9537733084값이 생성되었습니다
2016-11-05 16:57:31.242457	903048.3582242023값이 생성되었습니다
2016-11-05 16:57:31.383052	949959.8999507406값이 생성되었습니다
2016-11-05 16:57:31.383052	714615.0439811129값이 생성되었습니다
2016-11-05 16:57:31.383052	512396.46726700437값이 생성되었습니다
2016-11-05 16:57:31.383052	532155.0518666543값이 생성되었습니다
2016-11-05 16:57:31.383052	337282.78018937097값이 생성되었습니다
2016-11-05 16:57:31.383052	823200.391575889값이 생성되었습니다
2016-11-05 16:57:31.383052	290541.64554891305값이 생성되었습니다
2016-11-05 16:57:31.383052	988240.2088453086값이 생성되었습니다
2016-11-05 16:57:31.383052	524865.3834012349값이 생성되었습니다
2016-11-05 16:57:31.383052	556108.3476605928값이 생성되었습니다
2016-11-05 16:57:31.674660	324473.7957032926값이 생성되었습니다
2016-11-05 16:57:31.674660	963898.4273662977값이 생성되었습니다
2016-11-05 16:57:31.674660	536717.4544122962값이 생성되었습니다
2016-11-05 16:57:31.674660	892260.416958303값이 생성되었습니다
2016-11-05 16:57:31.674660	857789.4210797547값이 생성되었습니다
2016-11-05 16:57:31.674660	247645.83173308664값이 생성되었습니다
2016-11-05 16:57:31.674660	954461.5267915608값이 생성되었습니다
2016-11-05 16:57:31.674660	579619.8953515402값이 생성되었습니다
2016-11-05 16:57:31.674660	87995.32349643712값이 생성되었습니다
2016-11-05 16:57:31.674660	968368.275538632값이 생성되었습니다
